state_configuration,state_term,state_J,energy,energy_uncertainty,is_from_theory
4s.4p,3P,0,15157.901,,FALSE
4s.4p,3P,1,15210.063,,FALSE
4s.4p,3P,2,15315.943,,FALSE
4s.4p,1P,1,23652.304,,FALSE
3d.4p,3F,2,35730.454,,FALSE
3d.4p,3F,3,35818.713,,FALSE
3d.4p,3F,4,35896.889,,FALSE
3d.4p,1D,2,35835.413,,FALSE
4s.5p,3P,0,36547.688,,FALSE
4s.5p,3P,1,36554.749,,FALSE
4s.5p,3P,2,36575.119,,FALSE
4s.5p,1P,1,36731.615,,FALSE
3d.4p,3D,1,38192.392,,FALSE
3d.4p,3D,2,38219.118,,FALSE
3d.4p,3D,3,38259.124,,FALSE
3d.4p,3P,0,39333.382,,FALSE
3d.4p,3P,1,39335.322,,FALSE
3d.4p,3P,2,39340.080,,FALSE
3d.4p,1F,3,40537.893,,FALSE
4s.6p,1P,1,41679.008,,FALSE
4s.4f,3F,2,42170.214,,FALSE
4s.4f,3F,3,42170.558,,FALSE
4s.4f,3F,4,42171.026,,FALSE
4s.4f,1F,3,42343.587,,FALSE
4s.6p,3P,0,42514.845,,FALSE
4s.6p,3P,1,42518.708,,FALSE
4s.6p,3P,2,42526.591,,FALSE
4s.0p,1P,1,43933.477,,FALSE
4s.5f,3F,2,44762.620,,FALSE
4s.5f,3F,3,44762.839,,FALSE
4s.5f,3F,4,44763.118,,FALSE
4s.5f,1F,3,44804.878,,FALSE
4s.7p,3P,0,44955.67,,FALSE
4s.7p,3P,1,44957.655,,FALSE
4s.7p,3P,2,44961.757,,FALSE
4s.7p,1P,1,45425.358,,FALSE
4s.6f,3F,2,46164.644,,FALSE
4s.6f,3F,3,46164.785,,FALSE
4s.6f,3F,4,46164.971,,FALSE
4s.6f,1F,3,46182.399,,FALSE
4s.8p,3P,0,46284.12,,FALSE
4s.8p,3P,1,46285.23,,FALSE
4s.8p,3P,2,46287.63,,FALSE
4s.8p,1P,1,46479.813,,FALSE
4s.7f,3F,2,47006.194,,FALSE
4s.7f,3F,3,47006.280,,FALSE
4s.7f,3F,4,47006.400,,FALSE
4s.7f,1F,3,47015.141,,FALSE
4s.9p,3P,1,47085.38,,FALSE
4s.9p,3P,2,47086.99,,FALSE
4s.9p,1P,1,47184.370,,FALSE
4s.8f,3F,2,47550.214,,FALSE
4s.8f,3F,3,47550.271,,FALSE
4s.8f,3F,4,47550.371,,FALSE
4s.8f,1F,3,47555.23,,FALSE
4s.10p,3P,1,47604.75,,FALSE
4s.10p,3P,2,47605.77,,FALSE
4s.10p,1P,1,47662.10,,FALSE
4s.9f,3F,2,47921.87,,FALSE
4s.9f,3F,3,47921.981,,FALSE
4s.9f,3F,4,47922.033,,FALSE
4s.9f,1F,3,47924.947,,FALSE
4s.11p,3P,1,47960.87,,FALSE
4s.11p,3P,2,47961.53,,FALSE
4s.11p,1P,1,47997.49,,FALSE
4s.10f,3F,2,48187.045,,FALSE
4s.10f,3F,3,48187.075,,FALSE
4s.10f,3F,4,48187.118,,FALSE
4s.10f,1F,3,48188.990,,FALSE
4s.10h,1H,5,48208,,FALSE
4s.12p,3P,1,48215.81,,FALSE
4s.12p,3P,2,48216.36,,FALSE
4s.12p,1P,1,48240.53,,FALSE
4s.11f,3F,2,48382.70,,FALSE
4s.11f,3F,3,48382.781,,FALSE
4s.11f,3F,4,48382.801,,FALSE
4s.11f,1F,3,48384.039,,FALSE
4s.11h,1H,5,48398.6,,FALSE
4s.13p,3P,1,48404.57,,FALSE
4s.13p,3P,2,48404.95,,FALSE
4s.13p,1P,1,48422.09,,FALSE
4s.12f,3F,3,48531.04,,FALSE
4s.12f,3F,4,48531.04,,FALSE
4s.12f,1F,3,48532.139,,FALSE
4s.12h,1H,5,48544.2,,FALSE
4s.14p,3P,1,48548.30,,FALSE
4s.14p,3P,2,48548.51,,FALSE
4s.14p,1P,1,48561.10,,FALSE
4s.13f,3F,4,48646.38,,FALSE
4s.13f,1F,3,48647.30,,FALSE
4s.13h,1H,5,48657.0,,FALSE
4s.15p,3P,2,48660.23,,FALSE
4s.15p,1P,1,48669.83,,FALSE
4s.14f,1F,3,48738.54,,FALSE
4s.14h,1H,5,48747.4,,FALSE
4s.16p,3P,2,48749.04,,FALSE
4s.16p,1P,1,48756.45,,FALSE
4s.15f,1F,3,48812.09,,FALSE
4s.17p,3P,2,48820.60,,FALSE
4s.17p,1P,1,48826.54,,FALSE
4s.16f,1F,3,48872.20,,FALSE
4s.18p,3P,2,48879.31,,FALSE
4s.18p,1P,1,48884.06,,FALSE
4s.17f,1F,3,48921.95,,FALSE
4s.19p,3P,2,48927.93,,FALSE
4s.19p,1P,1,48931.82,,FALSE
4s.18f,1F,3,48963.67,,FALSE
4s.20p,3P,2,48968.67,,FALSE
4s.20p,1P,1,48971.93,,FALSE
4s.19f,1F,3,48998.89,,FALSE
4s.21p,3P,2,49003.21,,FALSE
4s.21p,1P,1,49005.92,,FALSE
4s.20f,1F,3,49028.93,,FALSE
4s.22p,3P,2,49032.70,,FALSE
4s.22p,1P,1,49034.98,,FALSE
4s.21f,1F,3,49054.80,,FALSE
4s.23p,3P,2,49058.02,,FALSE
4s.23p,1P,1,49060.02,,FALSE
4s.22f,1F,3,49077.20,,FALSE
4s.24p,3P,2,49080.04,,FALSE
4s.24p,1P,1,49081.75,,FALSE
4s.23f,1F,3,49096.74,,FALSE
4s.25p,3P,2,49099.25,,FALSE
4s.25p,1P,1,49100.72,,FALSE
4s.24f,1F,3,49113.85,,FALSE
4s.26p,3P,2,49116.07,,FALSE
4s.26p,1P,1,49117.38,,FALSE
4s.25f,1F,3,49129.00,,FALSE
4s.27p,3P,2,49130.94,,FALSE
4s.27p,1P,1,49132.09,,FALSE
4s.26f,1F,3,49142.38,,FALSE
4s.28p,3P,2,49144.19,,FALSE
4s.28p,1P,1,49145.15,,FALSE
4s.27f,1F,3,49154.29,,FALSE
4s.29p,3P,2,49155.90,,FALSE
4s.29p,1P,1,49156.78,,FALSE
4s.28f,1F,3,49164.99,,FALSE
4s.30p,3P,2,49166.43,,FALSE
4s.30p,1P,1,49167.20,,FALSE
4s.31p,3P,2,49175.87,,FALSE
4s.31p,1P,1,49176.58,,FALSE
4s.32p,3P,2,49184.37,,FALSE
4s.32p,1P,1,49185.02,,FALSE
4s.33p,3P,2,49192.08,,FALSE
4s.33p,1P,1,49192.68,,FALSE
4s.34p,3P,2,49199.09,,FALSE
4s.34p,1P,1,49199.62,,FALSE
4s.35p,3P,2,49205.47,,FALSE
4s.35p,1P,1,49205.95,,FALSE
4s.36p,3P,2,49211.34,,FALSE
4s.36p,1P,1,49211.72,,FALSE
4s.37p,3P,2,49216.61,,FALSE
4s.37p,1P,1,49217.02,,FALSE
4s.38p,3P,2,49221.51,,FALSE
4s.38p,1P,1,49221.87,,FALSE
4s.39p,3P,2,49226.02,,FALSE
4s.39p,1P,1,49226.35,,FALSE
4s.40p,3P,2,49230.13,,FALSE
4s.40p,1P,1,49230.45,,FALSE
4s.41p,3P,2,49234.00,,FALSE
4s.41p,1P,1,49234.28,,FALSE
4s.42p,3P,2,49237.55,,FALSE
4s.42p,1P,1,49237.82,,FALSE
4s.43p,3P,2,49240.81,,FALSE
4s.43p,1P,1,49241.09,,FALSE
4s.44p,3P,2,49243.87,,FALSE
4s.44p,1P,1,49244.13,,FALSE
4s.45p,3P,2,49246.74,,FALSE
4s.45p,1P,1,49246.98,,FALSE
4s.46p,3P,2,49249.37,,FALSE
4s.46p,1P,1,49249.61,,FALSE
4s.47p,3P,2,49251.87,,FALSE
4s.47p,1P,1,49252.08,,FALSE
4s.48p,3P,2,49254.22,,FALSE
4s.48p,1P,1,49254.41,,FALSE
4s.49p,3P,2,49256.42,,FALSE
4s.49p,1P,1,49256.56,,FALSE
4s.50p,3P,2,49258.45,,FALSE
4s.50p,1P,1,49258.60,,FALSE
4s.51p,3P,2,49260.36,,FALSE
4s.51p,1P,1,49260.51,,FALSE
4s.52p,3P,2,49262.15,,FALSE
4s.52p,1P,1,49262.30,,FALSE
4s.53p,3P,2,49263.85,,FALSE
4s.53p,1P,1,49263.99,,FALSE
4s.54p,3P,2,49265.44,,FALSE
4s.54p,1P,1,49265.59,,FALSE
4s.55p,3P,2,49266.99,,FALSE
4s.55p,1P,1,49267.10,,FALSE
4s.56p,3P,2,49268.40,,FALSE
4s.56p,1P,1,49268.52,,FALSE
4s.57p,3P,2,49269.77,,FALSE
4s.57p,1P,1,49269.88,,FALSE
4s.58p,3P,2,49271.01,,FALSE
4s.58p,1P,1,49271.14,,FALSE
4s.59p,3P,2,49272.24,,FALSE
4s.59p,1P,1,49272.35,,FALSE
4s.60p,3P,2,49273.37,,FALSE
4s.60p,1P,1,49273.50,,FALSE
4s.61p,1P,1,49274.60,,FALSE
4s.62p,1P,1,49275.62,,FALSE
4s.63p,1P,1,49276.61,,FALSE
4s.64p,1P,1,49277.55,,FALSE
4s.65p,1P,1,49278.44,,FALSE
4s.66p,1P,1,49279.30,,FALSE
4s.67p,1P,1,49280.10,,FALSE
4s.68p,1P,1,49280.88,,FALSE
4s.69p,1P,1,49281.62,,FALSE
4s.70p,1P,1,49282.34,,FALSE
4s.71p,1P,1,49283.01,,FALSE
4s.72p,1P,1,49283.67,,FALSE
4s.73p,1P,1,49284.30,,FALSE
4s.74p,1P,1,49284.88,,FALSE
4s.75p,1P,1,49285.46,,FALSE
4s.76p,1P,1,49286.00,,FALSE
4s.77p,1P,1,49286.54,,FALSE
4s.78p,1P,1,49287.05,,FALSE
4s.79p,1P,1,49287.57,,FALSE
3d.5p,3D,1,51709.5,,FALSE
3d.5p,3D,2,51734.6,,FALSE
3d.5p,3D,3,51767.0,,FALSE
3d.5p,3P,1,51908,,FALSE
3d.5p,1P,1,53100,,FALSE
3d.4f,3D,1,55902.8,,FALSE
3d.4f,3P,1,55946.6,,FALSE
3d.4f,1P,1,55982.3,,FALSE
3d.6p,3D,1,56254,,FALSE
3d.6p,3P,1,56532.63,,FALSE
3d.6p,1P,1,56651,,FALSE
4p.5s,3P,1,57462,,FALSE
4p.5s,1P,1,57960,,FALSE
3d.5f,3D,1,58431.31,,FALSE
3d.5f,3P,1,58491.91,,FALSE
3d.5f,1P,1,58505.89,,FALSE
3d.7p,3D,1,58798.92,,FALSE
3d.7p,3P,1,59010.87,,FALSE
3d.7p,1P,1,59197,,FALSE
3d.6f,3D,1,59802.21,,FALSE
3d.6f,3P,1,59862.26,,FALSE
3d.6f,1P,1,59878.52,,FALSE
3d.8p,3D,1,60046.13,,FALSE
3d.8p,3P,1,60150.26,,FALSE
3d.8p,1P,1,60300,,FALSE
3d.7f,3D,1,60632.18,,FALSE
3d.7f,3P,1,60690.27,,FALSE
3d.7f,1P,1,60709.54,,FALSE
3d.9p,3D,1,60807.28,,FALSE
3d.9p,3P,1,60869.28,,FALSE
3d.9p,1P,1,60973.6,,FALSE
3d.8f,3D,1,61172.54,,FALSE
3d.8f,3P,1,61228.65,,FALSE
3d.8f,1P,1,61251.39,,FALSE
3d.10p,3D,1,61306.65,,FALSE
3d.10p,3P,1,61345.74,,FALSE
3d.10p,1P,1,61428.1,,FALSE
3d.9f,3D,1,61543.95,,FALSE
3d.9f,3P,1,61596.69,,FALSE
3d.9f,1P,1,61622.60,,FALSE
3d.11p,3D,1,61652.25,,FALSE
3d.11p,3P,1,61676.62,,FALSE
3d.11p,1P,1,61747.2,,FALSE
3d.10f,3D,1,61810.68,,FALSE
3d.10f,3P,1,61859.22,,FALSE
3d.10f,1P,1,61888.22,,FALSE
3d.12p,3D,1,61901.04,,FALSE
3d.12p,3P,1,61916.38,,FALSE
3d.12p,1P,1,61980.49,,FALSE
3d.11f,3D,1,62009.17,,FALSE
3d.11f,3P,1,62052.49,,FALSE
3d.11f,1P,1,62084.92,,FALSE
3d.13p,3D,1,62084.92,,FALSE
3d.13p,3P,1,62097.08,,FALSE
3d.13p,1P,1,62154.62,,FALSE
3d.12f,3D,1,62161.61,,FALSE
3d.12f,3P,1,62198.92,,FALSE
3d.14p,3D,1,62223.68,,FALSE
3d.12f,1P,1,62234.47,,FALSE
3d.14p,3P,1,62237.12,,FALSE
3d.13f,3D,1,62279.33,,FALSE
3d.14p,1P,1,62288.02,,FALSE
3d.13f,3P,1,62312.63,,FALSE
3d.15p,3D,1,62331.04,,FALSE
3d.13f,1P,1,62346.47,,FALSE
3d.15p,3P,1,62351.93,,FALSE
3d.14f,3D,1,62375.29,,FALSE
3d.15p,1P,1,62392.01,,FALSE
3d.14f,3P,1,62403.22,,FALSE
3d.16p,3D,1,62416.47,,FALSE
3d.14f,1P,1,62433.38,,FALSE
3d.16p,3P,1,62443.64,,FALSE
3d.15f,3D,1,62453.85,,FALSE
3d.15f,3P,1,62472.14,,FALSE
3d.16p,1P,1,62478.26,,FALSE
3d.17p,3D,1,62486.45,,FALSE
3d.15f,1P,1,62506.62,,FALSE
3d.17p,3P,1,62511.97,,FALSE
3d.16f,3D,1,62520.06,,FALSE
3d.16f,3P,1,62533.90,,FALSE
3d.18p,3D,1,62539.39,,FALSE
3d.17p,1P,1,62548.16,,FALSE
3d.17f,3D,1,62565.68,,FALSE
3d.16f,1P,1,62572.66,,FALSE
3d.17f,3P,1,62578.91,,FALSE
3d.18p,3P,1,62584.50,,FALSE
3d.19p,3D,1,62587.83,,FALSE
3d.18p,1P,1,62602.72,,FALSE
3d.18f,3D,1,62610.75,,FALSE
3d.18f,3P,1,62617.02,,FALSE
3d.17f,1P,1,62625.37,,FALSE
3d.20p,3D,1,62626.03,,FALSE
3d.19p,3P,1,62628.76,,FALSE
3d.19f,3D,1,62641.52,,FALSE
3d.19p,1P,1,62648.37,,FALSE
3d.19f,3P,1,62653.99,,FALSE
3d.21p,3D,1,62660.15,,FALSE
3d.20p,3P,1,62671.51,,FALSE
3d.18f,1P,1,62671.51,,FALSE
3d.20f,3D,1,62675.56,,FALSE
3d.20f,3P,1,62683.89,,FALSE
3d.22p,3D,1,62686.88,,FALSE
3d.20p,1P,1,62690.32,,FALSE
3d.19f,1P,1,62704.43,,FALSE
3d.21f,3D,1,62704.43,,FALSE
3d.21f,3P,1,62707.25,,FALSE
3d.21p,3P,1,62711.37,,FALSE
3d.23p,3D,1,62713.24,,FALSE
3d.22f,3D,1,62720.41,,FALSE
3d.21p,1P,1,62721.80,,FALSE
3d.22f,3P,1,62729.19,,FALSE
3d.24p,3D,1,62734.25,,FALSE
3d.20f,1P,1,62736.10,,FALSE
3d.22p,3P,1,62736.10,,FALSE
3d.23f,3D,1,62743.11,,FALSE
3d.23f,3P,1,62748.53,,FALSE
3d.22p,1P,1,62750.58,,FALSE
3d.25p,3D,1,62753.60,,FALSE
3d.23p,3P,1,62762.86,,FALSE
3d.21f,1P,1,62762.86,,FALSE
3d.24f,3P,1,62764.10,,FALSE
3d.24f,3D,1,62768.10,,FALSE
3d.26p,3D,1,62769.47,,FALSE
3d.23p,1P,1,62774.75,,FALSE
3d.25f,3P,1,62780.30,,FALSE
3d.27p,3D,1,62783.86,,FALSE
3d.22f,1P,1,62785.02,,FALSE
3d.24p,3P,1,62787.31,,FALSE
3d.26f,3D,1,62790.08,,FALSE
3d.26f,3P,1,62794.19,,FALSE
3d.24p,1P,1,62795.55,,FALSE
3d.28p,3D,1,62797.46,,FALSE
3d.23f,1P,1,62804.38,,FALSE
3d.27f,3P,1,62806.02,,FALSE
3d.25p,3P,1,62807.90,,FALSE
3d.29p,3D,1,62808.51,,FALSE
3d.28f,3D,1,62812.00,,FALSE
3d.25p,1P,1,62814.13,,FALSE
3d.28f,3P,1,62816.51,,FALSE
3d.30p,3D,1,62818.76,,FALSE
3d.24f,1P,1,62820.31,,FALSE
3d.29f,3P,1,62824.17,,FALSE
3d.26p,3P,1,62824.17,,FALSE
3d.31p,3D,1,62827.75,,FALSE
3d.26p,1P,1,62830.67,,FALSE
3d.30f,3D,1,62832.31,,FALSE
3d.30f,3P,1,62834.11,,FALSE
3d.32p,3D,1,62836.22,,FALSE
3d.25f,1P,1,62836.85,,FALSE
3d.27p,3P,1,62838.45,,FALSE
3d.31f,3P,1,62840.23,,FALSE
3d.33p,3D,1,62843.72,,FALSE
3d.27p,1P,1,62845.27,,FALSE
3d.32f,3P,1,62848.77,,FALSE
3d.34p,3D,1,62850.62,,FALSE
3d.26f,1P,1,62852.33,,FALSE
3d.28p,3P,1,62853.79,,FALSE
3d.33f,3P,1,62853.79,,FALSE
3d.35p,3D,1,62856.56,,FALSE
3d.28p,1P,1,62858.11,,FALSE
3d.34f,3P,1,62861.06,,FALSE
3d.36p,3D,1,62862.60,,FALSE
3d.29p,3P,1,62863.99,,FALSE
3d.35f,3P,1,62865.39,,FALSE
3d.37p,3D,1,62867.87,,FALSE
3d.29p,1P,1,62869.38,,FALSE
3d.36f,3P,1,62871.46,,FALSE
3d.38p,3D,1,62872.69,,FALSE
3d.30p,3P,1,62875.40,,FALSE
3d.37f,3P,1,62875.40,,FALSE
3d.39p,3D,1,62876.98,,FALSE
3d.30p,1P,1,62879.48,,FALSE
3d.38f,3P,1,62880.04,,FALSE
3d.40p,3D,1,62881.24,,FALSE
3d.31p,3P,1,62884.77,,FALSE
3d.41p,3D,1,62884.77,,FALSE
3d.31p,1P,1,62889.00,,FALSE
3d.42p,3D,1,62889.00,,FALSE
3d.43p,3D,1,62891.65,,FALSE
3d.32p,3P,1,62893.66,,FALSE
3d.44p,3D,1,62894.65,,FALSE
3d.32p,1P,1,62897.57,,FALSE
3d.45p,3D,1,62897.57,,FALSE
3d.46p,3D,1,62900.09,,FALSE
3d.33p,3P,1,62901.85,,FALSE
3d.47p,3D,1,62902.75,,FALSE
3d.33p,1P,1,62904.95,,FALSE
3d.48p,3D,1,62904.95,,FALSE
3d.49p,3D,1,62906.98,,FALSE
3d.50p,3D,1,62908.88,,FALSE
3d.51p,3D,1,62910.88,,FALSE
3d.34p,1P,1,62911.51,,FALSE
3d.52p,3D,1,62912.67,,FALSE
3d.53p,3D,1,62914.47,,FALSE
3d.54p,3D,1,62915.91,,FALSE
3d.35p,1P,1,62917.83,,FALSE
3d.55p,3D,1,62917.83,,FALSE
3d.56p,3D,1,62918.80,,FALSE
3d.57p,3D,1,62920.32,,FALSE
3d.58p,3D,1,62921.43,,FALSE
3d.36p,1P,1,62923.62,,FALSE
3d.35f,1P,1,62926.36,,FALSE
3d.37p,1P,1,62928.81,,FALSE
3d.36f,1P,1,62931.29,,FALSE
3d.38p,1P,1,62933.61,,FALSE
3d.37f,1P,1,62935.88,,FALSE
3d.39p,1P,1,62938.02,,FALSE
3d.38f,1P,1,62939.79,,FALSE
3d.40p,1P,1,62942.10,,FALSE
3d.39f,1P,1,62943.85,,FALSE
3d.41p,1P,1,62945.88,,FALSE
3d.42p,1P,1,62949.34,,FALSE
3d.43p,1P,1,62952.58,,FALSE
3d.44p,1P,1,62955.57,,FALSE
3d.45p,1P,1,62958.38,,FALSE
3d.46p,1P,1,62961.01,,FALSE
3d.47p,1P,1,62963.43,,FALSE
3d.48p,1P,1,62965.72,,FALSE
3d.49p,1P,1,62967.84,,FALSE
3d.50p,1P,1,62969.89,,FALSE
3d.51p,1P,1,62971.78,,FALSE
3d.52p,1P,1,62973.55,,FALSE
3d.53p,1P,1,62975.23,,FALSE
3d.54p,1P,1,62976.81,,FALSE
3d.55p,1P,1,62978.26,,FALSE
3d.56p,1P,1,62979.72,,FALSE
3d.57p,1P,1,62981.03,,FALSE
3d.58p,1P,1,62982.35,,FALSE
3d.59p,1P,1,62983.48,,FALSE
3d.60p,1P,1,62984.63,,FALSE
3d.61p,1P,1,62985.70,,FALSE
4p.6s,3P,1,64977,,FALSE
4p.6s,1P,1,65445,,FALSE
4p.5d,1P,1,66578,,FALSE
4p.7s,3P,1,68913,,FALSE
4p.7s,1P,1,69247,,FALSE
4p.6d,1P,1,69643,,FALSE
4p.8s,3P,1,70787,,FALSE
4p.8s,1P,1,71001,,FALSE
4p.7d,1P,1,71237,,FALSE
4p.9s,3P,1,71868,,FALSE
4p.9s,1P,1,72007,,FALSE
4p.8d,1P,1,72289,,FALSE
4p.10s,3P,1,72411,,FALSE
4p.10s,1P,1,72655,,FALSE
4p.11s,3P,1,72871,,FALSE
4p.9d,1P,1,72871,,FALSE
4p.11s,1P,1,73111,,FALSE
4p.12s,3P,1,73248,,FALSE
4p.10d,1P,1,73248,,FALSE
4p.12s,1P,1,73444,,FALSE
4p.13s,3P,1,73444,,FALSE
4p.11d,1P,1,73517,,FALSE
4p.14s,3P,1,73622,,FALSE
4p.13s,1P,1,73693,,FALSE
4p.15s,3P,1,73742,,FALSE
4p.12d,3P,1,73742,,FALSE
4p.14s,1P,1,73852,,FALSE
4p.16s,3P,1,73852,,FALSE
4p.15s,1P,1,73969,,FALSE
3p5.4s2.3d,3P,1,200096,,FALSE
3p5.4s2.3d,3D,1,218991,,FALSE
3p5.4s2.3d,1P,1,253310,,FALSE
3p5.4s2.4d,3P,1,255022,,FALSE
3p5.4s2.5s,2[3/2],1,257737,,FALSE
3p5.4s2.5s,2[1/2],1,260193,,FALSE
3p5.4s2.6s,2[3/2],1,267417,,FALSE
3p5.4s2.4d,3D,1,267956,,FALSE
3p5.4s2.6s,2[1/2],1,269706,,FALSE
3p5.4s2.4d,1P,1,270640,,FALSE
3p5.4s2.5d,2[3/2],1,270889,,FALSE
3p5.4s2.7s,2[3/2],1,271245,,FALSE
3p5.4s2.6d,2[3/2],1,273134,,FALSE
3p5.4s2.7s,2[1/2],1,273598,,FALSE
3p5.4s2.7d,2[3/2],1,273959,,FALSE
3p5.4s2.5d,2[3/2],1,274040,,FALSE
3p5.4s2.9s,2[3/2],1,274276,,FALSE
3p5.4s2.8d,2[3/2],1,274652,,FALSE
3p5.4s2.10s,2[3/2],1,274777,,FALSE
3p5.4s2.9d,2[3/2],1,275272,,FALSE
3p5.4s2.10d,2[3/2],1,275503,,FALSE
3p5.4s2.11d,2[3/2],1,275726,,FALSE
3p5.4s2.12d,2[3/2],1,275898,,FALSE
3p5.4s2.13d,2[3/2],1,276038,,FALSE
3p5.4s2.14d,2[3/2],1,276138,,FALSE
3p5.4s2.15d,2[3/2],1,276214,,FALSE
3p5.4s2.16d,2[3/2],1,276283,,FALSE
3p5.4s2.7d,2[3/2],1,276631,,FALSE
3p5.4s2.8d,2[3/2],1,277430,,FALSE
3p5.4s2.9d,2[3/2],1,277917,,FALSE
3p5.4s2.11s,2[1/2],1,277991,,FALSE
3p5.4s2.10d,2[3/2],1,278228,,FALSE
3p5.4s2.12s,2[1/2],1,278302,,FALSE
3p5.4s2.11d,2[3/2],1,278469,,FALSE
3p5.4s2.13s,2[1/2],1,278534,,FALSE
3p5.4s2.12d,2[3/2],1,278647,,FALSE
3p5.4s2.14s,2[1/2],1,278702,,FALSE
3p5.4s2.13d,2[3/2],1,278796,,FALSE
3p5.4s2.14d,2[3/2],1,278900,,FALSE
3p5.4s2.15d,2[3/2],1,278983,,FALSE
3p5.4s2.16d,2[3/2],1,279050,,FALSE
3p5.4s2.17d,2[3/2],1,279117,,FALSE
